source,target,value
m1_harry,Answer,50
m1_harry,Question,81
m1_harry,Statement,117
m1_harry,Emphasis,59
m2_harry,Answer,55
m2_harry,Question,86
m2_harry,Statement,190
m2_harry,Emphasis,49
m3_harry,Answer,35
m3_harry,Question,40
m3_harry,Statement,145
m3_harry,Emphasis,27
m4_harry,Answer,41
m4_harry,Question,56
m4_harry,Statement,100
m4_harry,Emphasis,17
m5_harry,Answer,100
m5_harry,Question,113
m5_harry,Statement,147
m5_harry,Emphasis,88
m6_harry,Answer,61
m6_harry,Question,82
m6_harry,Statement,256
m6_harry,Emphasis,22
m7_harry,Answer,60
m7_harry,Question,77
m7_harry,Statement,142
m7_harry,Emphasis,20
m8_harry,Answer,9
m8_harry,Question,38
m8_harry,Statement,50
m8_harry,Emphasis,18
