source,target,value
Accept,m1,4
Greet,m1,0
nAnswer,m1,13
Other,m1,9
Reject,m1,23
Statement,m1,117
System,m1,5
whQuestion,m1,51
yAnswer,m1,4
ynQuestion,m1,30
Emphasis,m1,59
Accept,m2,1
Greet,m2,0
nAnswer,m2,7
Other,m2,7
Reject,m2,28
Statement,m2,190
System,m2,9
whQuestion,m2,47
yAnswer,m2,2
ynQuestion,m2,39
Emphasis,m2,49
Accept,m3,2
Greet,m3,0
nAnswer,m3,3
Other,m3,4
Reject,m3,16
Statement,m3,145
System,m3,11
whQuestion,m3,26
yAnswer,m3,3
ynQuestion,m3,14
Emphasis,m3,27
Accept,m4,3
Greet,m4,1
nAnswer,m4,9
Other,m4,2
Reject,m4,17
Statement,m4,100
System,m4,9
whQuestion,m4,30
yAnswer,m4,8
ynQuestion,m4,26
Emphasis,m4,17
Accept,m5,15
Greet,m5,1
nAnswer,m5,19
Other,m5,8
Reject,m5,32
Statement,m5,147
System,m5,2
whQuestion,m5,85
yAnswer,m5,13
ynQuestion,m5,28
Emphasis,m5,88
Accept,m6,9
Greet,m6,1
nAnswer,m6,13
Other,m6,11
Reject,m6,27
Statement,m6,256
System,m6,20
whQuestion,m6,49
yAnswer,m6,7
ynQuestion,m6,33
Emphasis,m6,22
Accept,m7,2
Greet,m7,0
nAnswer,m7,16
Other,m7,12
Reject,m7,22
Statement,m7,142
System,m7,15
whQuestion,m7,49
yAnswer,m7,3
ynQuestion,m7,28
Emphasis,m7,20
Accept,m8,0
Greet,m8,0
nAnswer,m8,0
Other,m8,2
Reject,m8,3
Statement,m8,50
System,m8,3
whQuestion,m8,21
yAnswer,m8,2
ynQuestion,m8,17
Emphasis,m8,18
Accept,all,36
Greet,all,3
nAnswer,all,80
Other,all,55
Reject,all,168
Statement,all,1147
System,all,74
whQuestion,all,358
yAnswer,all,42
ynQuestion,all,215
Emphasis,all,300
