source,target,value
m1_hermoine,Answer,27
m1_hermoine,Question,34
m1_hermoine,Statement,53
m1_hermoine,Emphasis,21
m2_hermoine,Answer,37
m2_hermoine,Question,26
m2_hermoine,Statement,84
m2_hermoine,Emphasis,16
m3_hermoine,Answer,43
m3_hermoine,Question,24
m3_hermoine,Statement,82
m3_hermoine,Emphasis,34
m4_hermoine,Answer,28
m4_hermoine,Question,28
m4_hermoine,Statement,37
m4_hermoine,Emphasis,14
m5_hermoine,Answer,43
m5_hermoine,Question,14
m5_hermoine,Statement,76
m5_hermoine,Emphasis,34
m6_hermoine,Answer,22
m6_hermoine,Question,36
m6_hermoine,Statement,91
m6_hermoine,Emphasis,8
m7_hermoine,Answer,53
m7_hermoine,Question,35
m7_hermoine,Statement,127
m7_hermoine,Emphasis,29
m8_hermoine,Answer,17
m8_hermoine,Question,24
m8_hermoine,Statement,42
m8_hermoine,Emphasis,26
