source,target,value
m1,Answer,50
m1,Question,81
m1,Statement,117
m1,Emphasis,59
m2,Answer,55
m2,Question,86
m2,Statement,190
m2,Emphasis,49
m3,Answer,35
m3,Question,40
m3,Statement,145
m3,Emphasis,27
m4,Answer,41
m4,Question,56
m4,Statement,100
m4,Emphasis,17
m5,Answer,100
m5,Question,113
m5,Statement,147
m5,Emphasis,88
m6,Answer,61
m6,Question,82
m6,Statement,256
m6,Emphasis,22
m7,Answer,60
m7,Question,77
m7,Statement,142
m7,Emphasis,20
m8,Answer,9
m8,Question,38
m8,Statement,50
m8,Emphasis,18
all,Answer,411
all,Question,573
all,Statement,1147
all,Emphasis,300
