source,target,value
m1,Answer,107
m1,Question,141
m1,Statement,233
m1,Emphasis,134
m2,Answer,179
m2,Question,168
m2,Statement,428
m2,Emphasis,102
m3,Answer,111
m3,Question,86
m3,Statement,308
m3,Emphasis,80
m4,Answer,88
m4,Question,105
m4,Statement,208
m4,Emphasis,36
m5,Answer,155
m5,Question,146
m5,Statement,253
m5,Emphasis,151
m6,Answer,118
m6,Question,159
m6,Statement,438
m6,Emphasis,39
m7,Answer,161
m7,Question,150
m7,Statement,373
m7,Emphasis,72
m8,Answer,54
m8,Question,93
m8,Statement,135
m8,Emphasis,78
